0 0.766126609:1 45:1 2:1 0.802982129:1 9120:1 13:1 0:1 6:1 0:1 2:1 
0 0.957151019:1 40:1 0:1 0.121876201:1 2600:1 4:1 0:1 0:1 0:1 1:1 
0 0.65818014:1 38:1 1:1 0.085113375:1 3042:1 2:1 1:1 0:1 0:1 0:1 
0 0.233809776:1 30:1 0:1 0.036049682:1 3300:1 5:1 0:1 0:1 0:1 0:1 
0 0.9072394:1 49:1 1:1 0.024925695:1 63588:1 7:1 0:1 1:1 0:1 0:1 
0 0.213178682:1 74:1 0:1 0.375606969:1 3500:1 3:1 0:1 1:1 0:1 1:1 
0 0.189169052:1 57:1 0:1 0.606290901:1 23684:1 9:1 0:1 4:1 0:1 2:1 
0 0.644225962:1 30:1 0:1 0.30947621:1 2500:1 5:1 0:1 0:1 0:1 0:1 
0 0.01879812:1 51:1 0:1 0.53152876:1 6501:1 7:1 0:1 2:1 0:1 2:1 
0 0.010351857:1 46:1 0:1 0.298354075:1 12454:1 13:1 0:1 2:1 0:1 2:1 
0 0.964672555:1 40:1 3:1 0.382964747:1 13700:1 9:1 3:1 1:1 1:1 2:1 
0 0.019656581:1 76:1 0:1 477:1 0:1 6:1 0:1 1:1 0:1 0:1 
0 0.548458062:1 64:1 0:1 0.209891754:1 11362:1 7:1 0:1 1:1 0:1 2:1 
0 0.166284079:1 53:1 0:1 0.18827406:1 8800:1 7:1 0:1 0:1 0:1 0:1 
0 0.221812771:1 43:1 0:1 0.527887839:1 3280:1 7:1 0:1 1:1 0:1 2:1 
0 0.602794411:1 25:1 0:1 0.065868263:1 333:1 2:1 0:1 0:1 0:1 0:1 
0 0.200923382:1 43:1 0:1 0.430046338:1 12300:1 10:1 0:1 2:1 0:1 0:1 
0 0.025655677:1 38:1 0:1 0.475841386:1 3000:1 7:1 0:1 1:1 0:1 2:1 
0 0.9999999:1 39:1 0:1 0.241103559:1 2500:1 4:1 0:1 0:1 0:1 0:1 
0 0.075426584:1 32:1 0:1 0.085512189:1 7916:1 6:1 0:1 0:1 0:1 0:1 
0 0.04656027:1 58:1 0:1 0.241621845:1 2416:1 9:1 0:1 1:1 0:1 0:1 
0 0.392248482:1 50:1 0:1 1.595253368:1 4676:1 14:1 0:1 3:1 0:1 1:1 
0 0.718705378:1 28:1 0:1 0.170125614:1 3661:1 4:1 0:1 0:1 0:1 1:1 
0 0.368875933:1 68:1 0:1 1687.5:1 1:1 31:1 0:1 1:1 0:1 0:1 
0 7.96E-05:1 70:1 0:1 0.256339661:1 6900:1 21:1 1:1 1:1 0:1 0:1 
0 0.818977517:1 73:1 0:1 3095:1 0:1 9:1 0:1 1:1 1:1 0:1 
0 0.728150491:1 31:1 0:1 0.824725092:1 3000:1 10:1 0:1 2:1 0:1 1:1 
0 0.651603452:1 58:1 0:1 0.241135663:1 7783:1 11:1 0:1 1:1 0:1 0:1 
0 0.027399502:1 69:1 0:1 0.00803428:1 5600:1 3:1 0:1 0:1 0:1 0:1 
0 0.827708197:1 56:1 0:1 0.369590815:1 6793:1 15:1 1:1 1:1 0:1 0:1 
0 0.059668871:1 31:1 0:1 3162:1 0:1 11:1 0:1 2:1 0:1 1:1 
0 0.13306279:1 49:1 1:1 0.182881653:1 10257:1 9:1 0:1 2:1 0:1 3:1 
0 0.734477501:1 45:1 0:1 0.591477634:1 4716:1 13:1 0:1 2:1 0:1 2:1 
0 0.080564168:1 60:1 0:1 0.487288997:1 4916:1 15:1 0:1 2:1 0:1 0:1 
0 0.039387786:1 51:1 0:1 15466:1 0:1 7:1 0:1 0:1 0:1 0:1 
